Grupo;Produto;Ano;Valor
VINHO FINO DE MESA (VINÍFERA);Tinto;2004;23062182
VINHO FINO DE MESA (VINÍFERA);Tinto;2005;25409805
VINHO FINO DE MESA (VINÍFERA);Tinto;2006;18868108
VINHO FINO DE MESA (VINÍFERA);Tinto;2007;24786071
VINHO FINO DE MESA (VINÍFERA);Tinto;2008;27583032
VINHO FINO DE MESA (VINÍFERA);Tinto;2009;18209043
VINHO FINO DE MESA (VINÍFERA);Tinto;2010;11401406
VINHO FINO DE MESA (VINÍFERA);Tinto;2011;24104740
VINHO FINO DE MESA (VINÍFERA);Tinto;2012;24027589
VINHO FINO DE MESA (VINÍFERA);Tinto;2013;23156458
VINHO FINO DE MESA (VINÍFERA);Tinto;2014;17208996
VINHO FINO DE MESA (VINÍFERA);Tinto;2015;16745896
VINHO FINO DE MESA (VINÍFERA);Tinto;2016;8774847
VINHO FINO DE MESA (VINÍFERA);Tinto;2017;21442212
VINHO FINO DE MESA (VINÍFERA);Tinto;2018;19118254
VINHO FINO DE MESA (VINÍFERA);Tinto;2019;17389377
VINHO FINO DE MESA (VINÍFERA);Tinto;2020;15451883
VINHO FINO DE MESA (VINÍFERA);Tinto;2021;20433249
VINHO FINO DE MESA (VINÍFERA);Branco;1970;15562889
VINHO FINO DE MESA (VINÍFERA);Branco;1971;15655709
VINHO FINO DE MESA (VINÍFERA);Branco;1972;13289304
VINHO FINO DE MESA (VINÍFERA);Branco;1973;7930070
VINHO FINO DE MESA (VINÍFERA);Branco;1974;18927471
VINHO FINO DE MESA (VINÍFERA);Branco;1975;21933695
VINHO FINO DE MESA (VINÍFERA);Branco;1976;19874659
VINHO FINO DE MESA (VINÍFERA);Branco;1977;20409231
VINHO FINO DE MESA (VINÍFERA);Branco;1978;17640081
VINHO FINO DE MESA (VINÍFERA);Branco;1979;25727132
VINHO FINO DE MESA (VINÍFERA);Branco;1980;19326572
VINHO FINO DE MESA (VINÍFERA);Branco;1981;27528276
