data;values
01/02/2019;62,46
31/01/2019;61,89
30/01/2019;60,98
29/01/2019;59,71
28/01/2019;59,71
26/01/2019;61,49
25/01/2019;61,09
24/01/2019;61,05
23/01/2019;60,9
22/01/2019;62,18
21/01/2019;62,18
19/01/2019;62,04
18/01/2019;59,85
17/01/2019;59,81
16/01/2019;58,65
15/01/2019;58,8
14/01/2019;58,8
12/01/2019;59,24
11/01/2019;60,47
10/01/2019;59,46
09/01/2019;56,91
08/01/2019;57,1
07/01/2019;57,1
05/01/2019;55,64
04/01/2019;53,23
03/01/2019;54,06
02/01/2019;54,06
